63539055,jaywcjlove/awesome-mac,30994
55076063,Hack-with-Github/Awesome-Hacking,30965
22119721,k88hudson/git-flight-rules,30858
62367558,zeit/hyper,30717
9852918,TryGhost/Ghost,30710
15111821,grafana/grafana,30536
120538304,kelseyhightower/nocode,30519
26689598,prakhar1989/awesome-courses,30511
20904437,gin-gonic/gin,30474
1129010,blueimp/jQuery-File-Upload,30233
52631841,gothinkster/realworld,30211
10187082,Unitech/pm2,30160
2935735,adobe/brackets,30036
15428480,ColorlibHQ/AdminLTE,29814
22887094,tesseract-ocr/tesseract,29293
77189043,bailicangdu/vue2-elm,29100
15653276,Trinea/android-open-project,29020
7569578,discourse/discourse,28880
12791642,BVLC/caffe,28867
11177928,karan/Projects,28831
36502,git/git,28820
47018239,MaximAbramchuck/awesome-interview-questions,28819
3432266,JetBrains/kotlin,28778
18708860,tiimgreen/github-cheat-sheet,28731
4710920,apache/dubbo,28678
147350463,leonardomso/33-js-concepts,28554
29290473,XX-net/XX-Net,28491
151834062,doocs/advanced-java,28368
14370955,sahat/hackathon-starter,28264
19148949,PhilJay/MPAndroidChart,28254
2573058,zurb/foundation-sites,28230
21413198,immutable-js/immutable-js,28134
206084,Homebrew/legacy-homebrew,28037
5923215,hexojs/hexo,27722
12820537,lord/slate,27721
1663468,mozilla/pdf.js,27710
12972263,alvarotrigo/fullPage.js,27581
952189,jashkenas/backbone,27531
14712850,syncthing/syncthing,27434
83844720,ageitgey/face_recognition,27298
15062869,facebook/jest,27121
11551538,koajs/koa,27078
1200050,ariya/phantomjs,26962
11267509,bumptech/glide,26942
83999700,sdmg15/Best-websites-a-programmer-should-visit,26797
11225014,etcd-io/etcd,26792
48378947,fatedier/frp,26760
42751014,zenorocha/clipboard.js,26758
17375436,lukehoban/es6features,26722
5483330,soimort/you-get,26567
70198875,airbnb/lottie-android,26542
7741856,pixijs/pixi.js,26498
27442967,fastlane/fastlane,26419
10865436,dypsilon/frontend-dev-bookmarks,26236
81598961,python/cpython,26179
68957920,justjavac/awesome-wechat-weapp,26061
136328388,imhuay/Algorithm_Interview_Notes-Chinese,26035
75830968,exacity/deeplearningbook-chinese,25985
6838921,prometheus/prometheus,25953
12888993,home-assistant/home-assistant,25944
698041,caolan/async,25910
82227585,kamranahmedse/design-patterns-for-humans,25898
667006,videojs/video.js,25846
1844251,tastejs/todomvc,25758
10788737,codepath/android_guides,25720
39464018,apache/incubator-superset,25717
7190986,shadowsocks/shadowsocks-android,25706
56717493,joshbuchea/HEAD,25600
931135,Leaflet/Leaflet,25520
26516210,certbot/certbot,25516
9393759,photonstorm/phaser,25468
74791366,ryanmcdermott/clean-code-javascript,25455
65794292,styled-components/styled-components,25364
139824423,Avik-Jain/100-Days-Of-ML-Code,25076
32948863,jondot/awesome-react-native,25069
108252892,proxyee-down-org/proxyee-down,24860
349241,jashkenas/underscore,24769
98029592,ziishaned/learn-regex,24748
