/jaywcjlove/awesome-mac,30994,41316161
/Hack-with-Github/Awesome-Hacking,30965,34234362
/k88hudson/git-flight-rules,30858,10962335
/zeit/hyper,30717,47576467
/TryGhost/Ghost,30710,5768596
/grafana/grafana,30536,9527814
/kelseyhightower/nocode,30519,87703222
/prakhar1989/awesome-courses,30511,13516781
/gin-gonic/gin,30474,10393750
/blueimp/jQuery-File-Upload,30233,5101
/gothinkster/realworld,30211,47958210
/Unitech/pm2,30160,4003838
/adobe/brackets,30036,392
/ColorlibHQ/AdminLTE,29814,129759910
/tesseract-ocr/tesseract,29293,11367097
/bailicangdu/vue2-elm,29100,53554331
/Trinea/android-open-project,29020,7240106
/discourse/discourse,28880,2539527
/BVLC/caffe,28867,6876142
/karan/Projects,28831,6547465
/git/git,28820,14877
/MaximAbramchuck/awesome-interview-questions,28819,35762551
/JetBrains/kotlin,28778,35846
/tiimgreen/github-cheat-sheet,28731,9186998
/apache/dubbo,28678,136786772
/leonardomso/33-js-concepts,28554,109299349
/XX-net/XX-Net,28491,14945138
/doocs/advanced-java,28368,112318497
/sahat/hackathon-starter,28264,7299184
/PhilJay/MPAndroidChart,28254,9511697
/zurb/foundation-sites,28230,2558
/immutable-js/immutable-js,28134,125925301
/Homebrew/legacy-homebrew,28037,34394900
/hexojs/hexo,27722,10390278
/mozilla/pdf.js,27710,3137
/alvarotrigo/fullPage.js,27581,5504302
/jashkenas/backbone,27531,4376708
/syncthing/syncthing,27434,11156150
/ageitgey/face_recognition,27298,58981828
/facebook/jest,27121,9678863
/koajs/koa,27078,4591222
/ariya/phantomjs,26962,2122
/bumptech/glide,26942,4391700
/sdmg15/Best-websites-a-programmer-should-visit,26797,58875795
/etcd-io/etcd,26792,108106979
/fatedier/frp,26760,30127278
/zenorocha/clipboard.js,26758,26172924
/lukehoban/es6features,26722,8335469
/soimort/you-get,26567,424503
/airbnb/lottie-android,26542,56111172
/pixijs/pixi.js,26498,2820036
/fastlane/fastlane,26419,15073363
/dypsilon/frontend-dev-bookmarks,26236,4198417
/python/cpython,26179,5524547
/justjavac/awesome-wechat-weapp,26061,46376637
/imhuay/Algorithm_Interview_Notes-Chinese,26035,107693115
/exacity/deeplearningbook-chinese,25985,52369834
/prometheus/prometheus,25953,2363758
/home-assistant/home-assistant,25944,34896252
/caolan/async,25910,2876
/kamranahmedse/design-patterns-for-humans,25898,57323683
/videojs/video.js,25846,3601879
/tastejs/todomvc,25758,3676758
/codepath/android_guides,25720,4153637
/apache/incubator-superset,25717,65437497
/shadowsocks/shadowsocks-android,25706,1877118
/joshbuchea/HEAD,25600,35342689
/Leaflet/Leaflet,25520,1996840
/certbot/certbot,25516,36507912
/photonstorm/phaser,25468,3360645
/ryanmcdermott/clean-code-javascript,25455,51577026
/styled-components/styled-components,25364,46308211
/Avik-Jain/100-Days-Of-ML-Code,25076,103017638
/jondot/awesome-react-native,25069,18006157
/proxyee-down-org/proxyee-down,24860,99073577
/jashkenas/underscore,24769,4376706
/ziishaned/learn-regex,24748,110642080
/bayandin/awesome-awesomeness,24716,10663640
/open-guides/og-aws,24575,41239892
/knsv/mermaid,24574,13348971
/Blankj/AndroidUtilCode,24573,42447414
/php/php-src,24542,5603
/JakeWharton/butterknife,24454,2981995
/alex/what-happens-when,24450,6282369
/nylas/nylas-mail,24437,55783105
/bilibili/ijkplayer,24309,19010386
/kenwheeler/slick,24307,8778426
/johnpapa/angular-styleguide,24213,17050410
/ethereum/go-ethereum,24099,7115486
/godotengine/godot,24000,7865651
/containous/traefik,23994,32641897
/isocpp/CppCoreGuidelines,23972,25821930
/select2/select2,23891,14771481
/algorithm-visualizer/algorithm-visualizer,23887,96676166
/DefinitelyTyped/DefinitelyTyped,23843,1321133
/RocketChat/Rocket.Chat,23801,20204513
/floodsung/Deep-Learning-Papers-Reading-Roadmap,23795,93240244
/shengxinjing/programmer-job-blacklist,23791,57924902
/quilljs/quill,23783,9025349
/xitu/gold-miner,23456,28336451
/square/leakcanary,23440,19795940
/ripienaar/free-for-dev,23438,17648860
/preactjs/preact,23434,136684745
/junegunn/fzf,23433,6025265
/JuliaLang/julia,23424,6093
/zxing/zxing,23402,15939
/tuvtran/project-based-learning,23307,77266112
/react-boilerplate/react-boilerplate,23274,55564117
